discipline,ITEM_Sub_System,SD_Subsystem_Name,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days,SD_Priority_Code
INSTRUMENT,5000-01,Crude Methanol and Stabilizer & Slope Methanol,IN,A,278,135,143,0,0,278,0,135,135,A-0
INSTRUMENT,5000-02,Low Pressure (LP) Methanol,IN,A,144,88,56,0,0,144,0,88,88,A-0
INSTRUMENT,5000-03,Medium Pressure (MP) Methanol,IN,A,241,127,114,0,0,241,0,127,127,A-0
INSTRUMENT,1000-02,Fuel Gas & Distribution,IN,A,14,0,14,0,0,14,0,0,0,A-1
INSTRUMENT,120-18,E/I Cabinet,IN,A,12,0,12,0,0,0,0,0,0,A-1
INSTRUMENT,4000-02,HHP & HP & LP Steam,IN,A,36,2,34,0,0,36,0,2,2,A-1
INSTRUMENT,4000-03,MP Steam,IN,A,11,2,9,0,0,11,0,2,2,A-1
INSTRUMENT,4000-08,Cooling Water,IN,A,6,2,4,0,0,6,0,2,2,A-1
INSTRUMENT,4000-12,COC Water and Lab Chemical Sump,IN,A,2,0,2,0,2,2,0,0,0,A-1
INSTRUMENT,5000-04,Methanol Product,IN,A,72,29,43,0,0,72,0,29,29,A-1
INSTRUMENT,5000-05,Liquid Off Stream,IN,A,11,4,7,0,0,11,0,4,4,A-1
INSTRUMENT,7000-01,Flare System (In Site),IN,A,15,7,8,0,0,15,0,7,7,A-1
INSTRUMENT,5000-01,Crude Methanol and Stabilizer & Slope Methanol,IN,B,70,13,57,0,1,70,0,13,13,A-0
INSTRUMENT,5000-02,Low Pressure (LP) Methanol,IN,B,74,0,74,0,1,74,0,0,0,A-0
INSTRUMENT,5000-03,Medium Pressure (MP) Methanol,IN,B,61,9,52,0,0,61,0,9,9,A-0
INSTRUMENT,1000-02,Fuel Gas & Distribution,IN,B,12,2,10,0,0,12,0,2,2,A-1
INSTRUMENT,120-18,E/I Cabinet,IN,B,0,0,0,0,0,0,0,0,0,A-1
INSTRUMENT,4000-02,HHP & HP & LP Steam,IN,B,4,0,4,0,0,4,0,0,0,A-1
INSTRUMENT,4000-03,MP Steam,IN,B,6,0,6,0,2,6,0,0,0,A-1
INSTRUMENT,5000-04,Methanol Product,IN,B,4,0,4,0,0,4,0,0,0,A-1
INSTRUMENT,5000-05,Liquid Off Stream,IN,B,4,2,2,0,0,4,0,2,2,A-1
INSTRUMENT,4000-01,Nitrogen,IN,C,2,0,2,0,0,2,0,0,0,A-0
INSTRUMENT,4000-11,Instrument Air,IN,C,21,0,21,9,21,21,0,0,0,A-0
INSTRUMENT,5000-01,Crude Methanol and Stabilizer & Slope Methanol,IN,C,91,54,37,0,1,91,0,54,54,A-0
INSTRUMENT,5000-02,Low Pressure (LP) Methanol,IN,C,112,70,42,0,1,112,0,70,70,A-0
INSTRUMENT,5000-03,Medium Pressure (MP) Methanol,IN,C,74,54,20,0,0,74,0,54,54,A-0
INSTRUMENT,1000-02,Fuel Gas & Distribution,IN,C,8,1,7,0,0,8,0,1,1,A-1
INSTRUMENT,4000-02,HHP & HP & LP Steam,IN,C,8,0,8,0,0,8,0,0,0,A-1
INSTRUMENT,4000-03,MP Steam,IN,C,7,1,6,0,2,7,0,1,1,A-1
INSTRUMENT,4000-08,Cooling Water,IN,C,2,0,2,0,0,2,0,0,0,A-1
