ITEM_Sub_System,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Today,Issued_Last_7_Days,Issued_Last_30_Days,Released_Today,Released_Last_7_Days,Released_Last_30_Days
5000-02,IN,B,17,0,17,10,10,17,0,0,0
LS-02,EL,B,29,13,16,0,0,0,1,1,8
120-17,EL,C,20,0,20,0,0,0,0,0,0
TEL-07,EL,C,17,0,17,0,15,17,0,0,0
1000-01,PI,B,7,7,0,0,0,0,0,0,0
3000-03,MES,C,20,0,20,0,0,0,0,0,0
DCS-01,IN,B,305,0,305,0,0,31,0,0,0
1000-03,MES,A,4,0,4,0,0,0,0,0,0
5000-04,IN,A,72,0,72,0,6,72,0,0,0
TEL-06,EL,A,6,0,6,0,0,6,0,0,0
7000-01,IN,A,15,0,15,0,7,15,0,0,0
LS-01,EL,C,30,6,24,0,0,0,0,0,6
3000-04,PI,C,10,0,10,0,3,3,0,0,0
3000-03,IN,A,24,0,24,0,0,24,0,0,0
120-02,EL,B,662,321,341,0,10,10,34,49,99
5000-03,PI,B,56,56,0,0,0,0,0,0,3
LS-10,EL,A,67,0,67,0,0,0,0,0,0
4000-04,PI,A,3,3,0,0,0,0,0,0,0
4000-14_AG,PI,C,53,0,53,0,0,2,0,0,0
2000-04,IN,B,16,0,16,0,16,16,0,0,0
5000-04,MES,C,21,0,21,0,0,0,0,0,0
4000-06,IN,B,2,0,2,0,0,2,0,0,0
120-13,EL,B,74,72,2,0,0,2,0,0,0
2000-02,IN,C,2,0,2,0,2,2,0,0,0
1000-03,PI,C,115,1,114,0,0,0,0,0,1
3000-02,IN,A,12,0,12,0,0,12,0,0,0
5000-01,IN,A,231,0,231,1,18,231,0,0,0
LS-03,EL,A,1472,1416,56,0,0,1472,0,1416,1416
4000-13,PI,C,11,0,11,0,0,3,0,0,0
120-12,EL,B,4,0,4,0,3,3,0,0,0
2000-01,IN,C,1,0,1,0,1,1,0,0,0
3000-01,PI,B,18,15,3,0,0,0,0,0,0
5000-02,PI,C,95,2,93,0,0,3,0,0,1
2000-05,MES,C,37,2,35,0,0,5,0,0,0
LS-02,EL,A,7,1,6,0,0,0,0,0,1
120-03,EL,C,367,106,261,0,17,17,19,19,106
5000-01,PI,C,151,16,135,0,0,7,0,0,16
4000-03,IN,C,1,0,1,0,0,1,0,0,0
120-10,EL,A,52,0,52,0,0,20,0,0,0
120-02,EL,A,255,114,141,0,8,8,0,96,114
3000-02,PI,B,4,4,0,0,0,0,0,0,0
7000-01,MES,C,6,0,6,0,0,0,0,0,0
120-06,EL,C,198,18,180,0,0,10,0,10,18
4000-14_UG,PI,B,5,0,5,0,0,0,0,0,0
4000-02,IN,C,6,0,6,0,0,6,0,0,0
LS-12,EL,B,199,71,128,0,0,41,0,49,71
4000-11,PI,C,7,0,7,0,0,0,0,0,0
120-18,EL,B,12,0,12,0,0,0,0,0,0
1000-02,PI,C,9,0,9,0,0,0,0,0,0
120-11,EL,C,6,0,6,0,0,0,0,0,0
2000-05,IN,C,19,0,19,0,1,19,0,0,0
1000-02,PI,B,15,4,11,0,0,0,0,0,0
2000-01,IN,B,4,0,4,0,4,4,0,0,0
120-18,EL,C,2,0,2,0,2,2,0,0,0
5000-02,PI,B,33,32,1,0,0,0,0,0,0
120-07,EL,C,146,31,115,0,3,3,4,9,19
4000-12,PI,B,3,3,0,0,0,0,0,0,0
5000-05,IN,A,11,0,11,0,0,11,0,0,0
5000-05,PI,B,7,7,0,0,0,0,0,0,0
2000-02,IN,B,8,0,8,0,8,8,0,0,0
4000-14_AG,PI,B,37,31,6,0,0,0,0,0,0
2000-04,IN,C,4,0,4,0,4,4,0,0,0
LS-06,EL,A,12,6,6,0,0,0,0,6,6
2000-05,MES,B,6,6,0,0,0,0,0,0,0
4000-04,IN,C,2,0,2,0,0,2,0,0,0
TEL-07,EL,A,50,0,50,0,28,50,0,0,0
5000-02,IN,A,144,0,144,5,5,144,0,0,0
1000-01,MES,A,9,0,9,0,0,0,0,0,0
4000-08,IN,C,2,0,2,0,2,2,0,0,0
1000-03,PI,B,50,47,3,0,0,0,0,0,0
120-03,EL,B,560,185,375,0,52,52,49,49,149
120-06,EL,B,590,170,420,0,0,156,0,10,10
3000-02,PI,C,31,0,31,0,0,0,0,0,0
120-09,EL,A,4,0,4,0,4,4,0,0,0
4000-14_UG,PI,C,44,0,44,2,2,2,0,0,0
5000-03,MES,C,34,2,32,0,0,2,0,0,0
4000-02,IN,B,2,0,2,0,0,2,0,0,0
120-16,EL,A,26,16,10,0,0,0,1,16,16
120-07,EL,B,252,86,166,0,7,7,6,11,35
120-11,EL,B,20,6,14,0,0,0,0,0,6
4000-03,IN,B,1,0,1,0,0,1,0,0,0
4000-11,PI,B,2,2,0,0,0,0,0,0,0
3000-01,IN,A,4,0,4,0,0,4,0,0,0
3000-02,MES,C,19,0,19,0,0,9,0,0,0
5000-01,PI,B,64,51,13,0,0,0,0,0,0
120-01,EL,A,423,241,182,0,7,7,0,0,241
