SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
LS-02,EL,00-ELP-02,Panel,A,ارت تجهيز نصب شود,PL-05593
LS-02,EL,00-ELP-02,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05594
LS-02,EL,00-ELP-02,Panel,C,Preservation  تجهيز انجام شود,PL-05595
LS-02,EL,00-ELP-02,Panel,A,سربندي تجهيز انجام شود,PL-05596
LS-02,EL,00-ELP-03,Panel,A,ارت تجهيز نصب شود,PL-05605
LS-02,EL,00-ELP-03,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05606
LS-02,EL,00-ELP-03,Panel,C,Preservation  تجهيز انجام شود,PL-05607
LS-02,EL,00-ELP-03,Panel,A,سربندي تجهيز انجام شود,PL-05608
LS-02,EL,00-ELP-04,Panel,A,ارت تجهيز نصب شود,PL-05617
LS-02,EL,00-ELP-04,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05618
LS-02,EL,00-ELP-04,Panel,C,Preservation  تجهيز انجام شود,PL-05619
LS-02,EL,00-ELP-04,Panel,A,سربندي تجهيز انجام شود,PL-05620
LS-02,EL,00-ELP-04,Panel,C,گروت ريزي ساپورت تجهيز انجام شود,PL-05621
LS-02,EL,00-ELP-04,Panel,C,As-Built Drawing Should be done.,PL-05622
LS-01,EL,00-LP-02,Panel,A,ارت تجهيز نصب شود,PL-05597
LS-01,EL,00-LP-02,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05598
LS-01,EL,00-LP-02,Panel,C,Preservation  تجهيز انجام شود,PL-05599
LS-01,EL,00-LP-02,Panel,A,سربندي تجهيز انجام شود,PL-05600
LS-01,EL,00-LP-03,Panel,A,ارت تجهيز نصب شود,PL-05609
LS-01,EL,00-LP-03,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05610
LS-01,EL,00-LP-03,Panel,C,Preservation  تجهيز انجام شود,PL-05611
LS-01,EL,00-LP-03,Panel,A,سربندي تجهيز انجام شود,PL-05612
LS-01,EL,00-LP-04,Panel,A,ارت تجهيز نصب شود,PL-05623
LS-01,EL,00-LP-04,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05624
LS-01,EL,00-LP-04,Panel,C,Preservation  تجهيز انجام شود,PL-05625
LS-01,EL,00-LP-04,Panel,A,سربندي تجهيز انجام شود,PL-05626
LS-01,EL,00-LP-04,Panel,C,گروت ريزي ساپورت تجهيز انجام شود,PL-05627
LS-01,EL,00-LP-04,Panel,C,As-Built Drawing Should be done.,PL-05628
LS-01,EL,00-RP-02,Panel,A,ارت تجهيز نصب شود,PL-05601
LS-01,EL,00-RP-02,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05602
LS-01,EL,00-RP-02,Panel,C,Preservation  تجهيز انجام شود,PL-05603
LS-01,EL,00-RP-02,Panel,A,سربندي تجهيز انجام شود,PL-05604
LS-01,EL,00-RP-03,Panel,A,ارت تجهيز نصب شود,PL-05613
LS-01,EL,00-RP-03,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05614
LS-01,EL,00-RP-03,Panel,C,Preservation  تجهيز انجام شود,PL-05615
LS-01,EL,00-RP-03,Panel,A,سربندي تجهيز انجام شود,PL-05616
LS-01,EL,00-RP-04,Panel,A,ارت تجهيز نصب شود,PL-05629
LS-01,EL,00-RP-04,Panel,B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05630
LS-01,EL,00-RP-04,Panel,C,Preservation  تجهيز انجام شود,PL-05631
LS-01,EL,00-RP-04,Panel,A,سربندي تجهيز انجام شود,PL-05632
LS-01,EL,00-RP-04,Panel,C,گروت ريزي ساپورت تجهيز انجام شود,PL-05633
LS-01,EL,00-RP-04,Panel,C,As-Built Drawing Should be done.,PL-05634
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09358
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09385
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09439
LS-08,EL,03-EJB1_2-1-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09188
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09365
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09446
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09392
LS-08,EL,03-EJB1_2-1-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09173
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09362
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09389
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09443
LS-08,EL,03-EJB1_2-1-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09172
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09360
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09441
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09387
LS-08,EL,03-EJB1_2-1-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09171
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09394
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09367
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.,PL-09448
LS-08,EL,03-EJB2_1-2-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09178
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09455
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09401
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09374
LS-08,EL,03-EJB2_1-2-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09181
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09376
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Cap JB shall be installed.,PL-09403
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Touch up  shall be done.,PL-09457
LS-08,EL,03-EJB2_1-2-L1-05-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09189
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Cap JB shall be installed.,PL-09410
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09383
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Touch up  shall be done.,PL-09464
LS-08,EL,03-EJB2_1-2-L1-06-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09193
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09369
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09396
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.,PL-09450
LS-08,EL,03-EJB2_1-2-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09179
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Touch up  shall be done.,PL-09459
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09405
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09378
LS-08,EL,03-EJB2_1-2-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09191
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09372
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09399
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.,PL-09453
LS-08,EL,03-EJB2_1-2-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09180
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09408
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09381
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Touch up  shall be done.,PL-09462
LS-08,EL,03-EJB2_1-2-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09192
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09359
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09386
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09440
LS-08,EL,03-JB1_2-1-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09187
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09364
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09445
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09391
LS-08,EL,03-JB1_2-1-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09176
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09361
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09388
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09442
LS-08,EL,03-JB1_2-1-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09174
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09363
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09444
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09390
LS-08,EL,03-JB1_2-1-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09175
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09366
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09393
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Touch up  shall be done.,PL-09447
LS-08,EL,03-JB1_2-1-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09177
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09398
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09371
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.,PL-09452
LS-08,EL,03-JB2_1-2-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09184
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09379
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09460
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09406
LS-08,EL,03-JB2_1-2-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09194
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Cap JB shall be installed.,PL-09411
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09384
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09465
LS-08,EL,03-JB2_1-2-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09197
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09368
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09395
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.,PL-09449
LS-08,EL,03-JB2_1-2-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09182
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09454
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09400
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09373
LS-08,EL,03-JB2_1-2-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09185
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09382
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Cap JB shall be installed.,PL-09409
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Touch up  shall be done.,PL-09463
LS-08,EL,03-JB2_1-2-L2-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09196
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.,PL-09451
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09370
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Cap JB shall be installed.,PL-09397
LS-08,EL,03-JB2_1-2-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09183
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09375
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09456
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Cap JB shall be installed.,PL-09402
LS-08,EL,03-JB2_1-2-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09186
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Cap JB shall be installed.,PL-09404
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Touch up  shall be done.,PL-09458
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09377
LS-08,EL,03-JB2_1-2-L3-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09190
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09380
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Touch up  shall be done.,PL-09461
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Cap JB shall be installed.,PL-09407
LS-08,EL,03-JB2_1-2-L3-05-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09195
LS-14,EL,03-JB2-2-L2-12-FJB01,Lighting Cable,B,Cable Tag(S.S) Shall Be Installed.,PL-21849
LS-14,EL,03-JB2-2-L3-11-FJB01,Lighting Cable,B,Cable Tag(S.S) Shall Be Installed.,PL-21850
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,B,S.S CABLE TAGS SHOULD BE INSTALL.,PL-09146
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09147
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,C,Cleaning TRAY shall be done,PL-09148
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,CAP shall be installed.,PL-09584
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09602
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,Touch up shall be done.,PL-09620
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,A,Termination shall be done.,PL-09638
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11581
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11589
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,A,Termination shall be done.,PL-09643
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,Touch up shall be done.,PL-09625
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09607
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,CAP shall be installed.,PL-09589
LS-09,EL,04-EJB1_1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09163
LS-09,EL,04-EJB1_1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09167
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,CAP shall be installed.,PL-09587
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09605
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,Touch up shall be done.,PL-09623
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,A,Termination shall be done.,PL-09641
LS-09,EL,04-EJB1_1-3-L2-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09169
LS-09,EL,04-EJB1_1-3-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09165
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,A,Termination shall be done.,PL-09631
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,Touch up shall be done.,PL-09613
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09595
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,CAP shall be installed.,PL-09577
LS-09,EL,04-EJB1_1-3-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09153
LS-09,EL,04-EJB1_1-3-L2-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09160
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,CAP shall be installed.,PL-09581
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09599
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,Touch up shall be done.,PL-09617
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,A,Termination shall be done.,PL-09635
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11586
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11578
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,A,Termination shall be done.,PL-09628
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09592
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,Touch up shall be done.,PL-09610
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,CAP shall be installed.,PL-09574
LS-09,EL,04-EJB1_1-3-L3-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09161
LS-09,EL,04-EJB1_1-3-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09154
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11561
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11566
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11556
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11557
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11567
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11562
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,B,Touch up support shall be done.,PL-09645
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,B,tag no S.S shall be installed.,PL-09651
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,CAP IS NOT COMPLETE.,PL-09657
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,Filling of additional support holes should be done.,PL-09663
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,C,WASHER HIGHTING IS NOT COMPLETE.,PL-09669
LS-09,EL,04-EJB1-3-L2-04-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12634
LS-09,EL,04-EJB1-3-L2-04-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-12640
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12633
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11563
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11568
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11558
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,WASHER HIGHTING IS NOT COMPLETE.,PL-09672
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,Filling of additional support holes should be done.,PL-09666
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,C,CAP IS NOT COMPLETE.,PL-09660
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,B,tag no S.S shall be installed.,PL-09654
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,B,Touch up support shall be done.,PL-09648
LS-09,EL,04-EJB1-3-L3-04-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-12637
LS-09,EL,04-EJB1-3-L3-04-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12630
LS-09,EL,04-EJB2-4-L1-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12669
LS-09,EL,04-EJB2-4-L1-01,Lighting Fixture,B,Touch up support shall be done.,PL-12695
LS-09,EL,04-EJB2-4-L1-01,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12721
LS-09,EL,04-EJB2-4-L1-01,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12747
LS-09,EL,04-EJB2-4-L1-02,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12741
LS-09,EL,04-EJB2-4-L1-02,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12715
LS-09,EL,04-EJB2-4-L1-02,Lighting Fixture,B,Touch up support shall be done.,PL-12689
LS-09,EL,04-EJB2-4-L1-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12663
LS-09,EL,04-EJB2-4-L2-01,Lighting Fixture,B,Touch up support shall be done.,PL-12680
LS-09,EL,04-EJB2-4-L2-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12654
LS-09,EL,04-EJB2-4-L2-01,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12732
LS-09,EL,04-EJB2-4-L2-01,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12706
LS-09,EL,04-EJB2-4-L2-02,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12712
LS-09,EL,04-EJB2-4-L2-02,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12738
LS-09,EL,04-EJB2-4-L2-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12660
LS-09,EL,04-EJB2-4-L2-02,Lighting Fixture,B,Touch up support shall be done.,PL-12686
LS-09,EL,04-EJB2-4-L3-01,Lighting Fixture,B,Touch up support shall be done.,PL-12682
LS-09,EL,04-EJB2-4-L3-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12656
LS-09,EL,04-EJB2-4-L3-01,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12734
LS-09,EL,04-EJB2-4-L3-01,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12708
LS-09,EL,04-EJB2-4-L3-02,Lighting Fixture,C,Filling of additional support holes should be done.,PL-12718
LS-09,EL,04-EJB2-4-L3-02,Lighting Fixture,B,INSTALL THE CAP IN LIGHTING POLE,PL-12744
LS-09,EL,04-EJB2-4-L3-02,Lighting Fixture,B,Touch up support shall be done.,PL-12692
LS-09,EL,04-EJB2-4-L3-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12666
LS-09,EL,04-JB1_1-3-L1-01,Lighting Fixture,A,Termination shall be done.,PL-09634
LS-09,EL,04-JB1_1-3-L1-01,Lighting Fixture,B,CAP shall be installed.,PL-09580
LS-09,EL,04-JB1_1-3-L1-01,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09598
LS-09,EL,04-JB1_1-3-L1-01,Lighting Fixture,B,Touch up shall be done.,PL-09616
LS-09,EL,04-JB1_1-3-L1-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11574
LS-09,EL,04-JB1_1-3-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11582
LS-09,EL,04-JB1_1-3-L1-02,Lighting Fixture,B,Touch up shall be done.,PL-09622
LS-09,EL,04-JB1_1-3-L1-02,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09604
LS-09,EL,04-JB1_1-3-L1-02,Lighting Fixture,B,CAP shall be installed.,PL-09586
LS-09,EL,04-JB1_1-3-L1-02,Lighting Fixture,A,Termination shall be done.,PL-09640
LS-09,EL,04-JB1_1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11580
LS-09,EL,04-JB1_1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11588
LS-09,EL,04-JB1_1-3-L1-03,Lighting Fixture,A,Termination shall be done.,PL-09644
LS-09,EL,04-JB1_1-3-L1-03,Lighting Fixture,B,CAP shall be installed.,PL-09590
LS-09,EL,04-JB1_1-3-L1-03,Lighting Fixture,B,Touch up shall be done.,PL-09626
LS-09,EL,04-JB1_1-3-L1-03,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09608
LS-09,EL,04-JB1_1-3-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09164
LS-09,EL,04-JB1_1-3-L1-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09168
LS-09,EL,04-JB1_1-3-L1-04,Lighting Fixture,B,BUSHING SHALL BE INSTALLED.,PL-09594
LS-09,EL,04-JB1_1-3-L1-04,Lighting Fixture,B,Touch up shall be done.,PL-09612
LS-09,EL,04-JB1_1-3-L1-04,Lighting Fixture,B,CAP shall be installed.,PL-09576
LS-09,EL,04-JB1_1-3-L1-04,Lighting Fixture,A,Termination shall be done.,PL-09630
LS-09,EL,04-JB1_1-3-L1-04-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09157
LS-09,EL,04-JB1_1-3-L1-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09150
