SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-05,PI,5000-05-LOS-06-575,PI_TP,C,GROUTING FOR SUPPORT SHALL BE COMPELETE,PL-01885
5000-05,PI,5000-05-LOS-07-576,PI_TP,C,INSULATION KIT SHALL BE INSTALL BEFORE PRECOMM,PL-01839
5000-05,PI,5000-05-LOS-07-576,PI_TP,C,ALL GASKETS ARE ORIGINAL EXCEPT PUMP ENTRY ACCORDING TP PRECOMM NOTE,PL-01840
5000-05,PI,5000-05-LOS-07-576,PI_TP,C,INSTRUMENT INDICATORE SHALL BE INSTALL,PL-01841
5000-05,PI,5000-05-LOS-07-576,PI_TP,C,GROUT FOR SUPPORT SHALL BE COMPELETE,PL-01842
5000-05,PI,5000-05-LOS-08-381,PI_TP,C,(PG-5449) And (PT-5448) SHOULD BE INSTALLED BEFORE Comm,PL-01362
4000-14_UG,PI,56-FW-UG-220,PI_TP,C,THE INSULATION KIT SHALL BE INSTALL BEFORE PRECOMM,PL-01872
4000-14_UG,PI,56-FW-UG-220,PI_TP,C,ALL MESH & RO & GASKET FOR RO SHALL BE INSTALL DURING PRECOMM,PL-01873
4000-14_UG,PI,56-FW-UG-222,PI_TP,C,"THE INSULATION KIT 8""-150# SHALL BE INSTALL BEFORE PRECOMM",PL-02473
4000-14_UG,PI,56-FW-UG-222,PI_TP,C,THE INSTRUMENT DEVICE (FO:9013B) SHALL BE INSTALL,PL-02474
4000-14_UG,PI,56-FW-UG-222,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-02475
4000-14_UG,PI,56-FW-UG-222,PI_TP,C,GROUTING OF THE BASE PLATE SUPPORTS AND STRAINER BASES MUST BE COMPELETE,PL-02476
4000-14_UG,PI,57-FW-UG-203,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-17206
4000-14_UG,PI,57-FW-UG-203,PI_TP,C,PAVING UNDER THE BASE PLATE OF THE SUPPORT HAS NOT BEEN DONE,PL-17207
4000-13,PI,57-PMP-UG-KC-206,PI_TP,C,VALVE SHALL BE LUBRICATE,PL-15934
4000-14_UG,PI,61-FW-UG-213,PI_TP,C,RO(9014) SHALL BE INSTALL,PL-01868
4000-14_UG,PI,61-FW-UG-213,PI_TP,C,"THE INSULATION KIT 8""-150# SHALL BE INSTALL BEFORE PRECOMM",PL-01869
4000-14_UG,PI,61-FW-UG-215,PI_TP,C,"THE INSULATION KIT 8""-150# SHALL BE INSTALL BEFORE PRECOMM",PL-01870
4000-14_UG,PI,61-FW-UG-215,PI_TP,C,THE INSTRUMET DEVICE (RO:9016B) SHALL BE INSTALL BEFORE PRECOMM,PL-01871
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,"INSULATION KIT 4""-150# AND RO:9009B MUST BE INSTALLED BEFORE PRECOMM",PL-01844
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,"INSULATION KIT 4""-150# AND RO:9009B MUST BE INSTALLED BEFORE PRECOMM",PL-01845
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,J:13 FLANGE GASAKET IS TEMPORARY ACCORDING TO PRECOMM NOTE,PL-01846
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,HAND WHEEL DIRECTION SHALL BE CHANGE BY PRECOMM GROUP,PL-01847
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,ELECTRICAL GASKET (9) DIDN’T INSTALL,PL-01848
