Discipline,Tag_No,Form_Title,Done,FRD_Phase
EL,02-JB2_2-2-L3-10-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-11-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L1-08-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-18-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-10-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-08-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L3-03-FJB01,Cable pulling C,0,Construction
EL,01-EJB2-2-FJB,Cable pulling C,1,Construction
EL,02-AWLP2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-12-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-13-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-11-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-08-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-08-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-16-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-08-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-11-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L3-09-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB1_1-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB1-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB1-1-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_2-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-06-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-08-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_1-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_1-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_1-2-L1-01-FJB01,Cable pulling C,1,Construction
EL,02-EJB2_1-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-09-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-16-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-10-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-08-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-09-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-12-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-12-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-17-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-09-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-17-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-19-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-14-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-19-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-10-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-09-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L3-11-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_1-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-05-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-19-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-26-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-44-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-56-FJB01,Cable pulling C,0,Construction
EL,02-AWLP2-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_1-1-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_1-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-14-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-09-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-12-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-14-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-10-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-13-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-16-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-08-FJB01,Cable pulling C,0,Construction
EL,01-SJB1-1-FJB,Cable pulling C,1,Construction
EL,02-AWLP1-3-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-AWLP3-1-MJB,Cable pulling C,0,Construction
EL,02-EJB1_1-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-13-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-10-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-11-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-12-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-14-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-12-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-14-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-13-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-16-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-11-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-13-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-20-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-21-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-04-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-20-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-21-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-03-FJB01,Cable pulling C,0,Construction
EL,01-JB2-2-FJB,Cable pulling C,1,Construction
EL,02-AWLP3-3-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_1-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3-3-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-11-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-07-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-11-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-10-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-14-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB2_2-2-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB2-2-L2-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L1-11-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-13-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L2-16-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-12-FJB01,Cable pulling C,0,Construction
EL,02-JB3_1-3-L3-15-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB3_2-3-L2-11-FJB01,Cable pulling C,0,Construction
EL,02-JB3-3-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB1_1-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_1-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_2-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_2-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_2-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-RJB2_3-2-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-RJB2-2-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-SJB1-2-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-11-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-10-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-14-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-16-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-13-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L2-08-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L3-09-FJB01,Cable pulling C,0,Construction
EL,02-JB2_1-2-L1-01-FJB01,Cable pulling C,0,Construction
